# FG2009 focus-tracking curve (INF object distance).
# Source: FG20090 tracking curve 20250804, visible-light sheet, INF column
# (full resolution: one row per zoom step, 2464 points, exact transcription
# of the vendor INF focus-step column -- no decimation/interpolation loss).
# zoom_step: FG2009 zoom curve coordinate (0 = WIDE .. 2463 = TELE).
# focus_step: FG2009 focus curve coordinate (0 = NEAR .. 2453 = FAR).
# On every zoom move camera-daemon drives focus to this curve via DUAL_REL;
# the user then fine-tunes within the +/-300-step web window.
# Vendor values are reference-only (~50-step bench deviation observed on the
# first unit) -- recalibrate per lot by editing this file, not the code.
zoom_step,focus_step
0,168
1,171
2,174
3,176
4,179
5,182
6,185
7,188
8,190
9,193
10,196
11,199
12,202
13,204
14,207
15,210
16,213
17,216
18,218
19,221
20,224
21,227
22,229
23,232
24,235
25,238
26,240
27,243
28,246
29,249
30,251
31,254
32,257
33,259
34,262
35,265
36,268
37,270
38,273
39,276
40,278
41,281
42,284
43,286
44,289
45,292
46,295
47,297
48,300
49,303
50,305
51,308
52,310
53,313
54,316
55,318
56,321
57,324
58,326
59,329
60,332
61,334
62,337
63,339
64,342
65,345
66,347
67,350
68,353
69,355
70,358
71,360
72,363
73,365
74,368
75,371
76,373
77,376
78,378
79,381
80,383
81,386
82,389
83,391
84,394
85,396
86,399
87,401
88,404
89,406
90,409
91,411
92,414
93,416
94,419
95,421
96,424
97,426
98,429
99,431
100,434
101,436
102,439
103,441
104,444
105,446
106,449
107,451
108,454
109,456
110,459
111,461
112,464
113,466
114,469
115,471
116,474
117,476
118,478
119,481
120,483
121,486
122,488
123,491
124,493
125,495
126,498
127,500
128,503
129,505
130,507
131,510
132,512
133,515
134,517
135,519
136,522
137,524
138,527
139,529
140,531
141,534
142,536
143,538
144,541
145,543
146,546
147,548
148,550
149,553
150,555
151,557
152,560
153,562
154,564
155,567
156,569
157,571
158,574
159,576
160,578
161,581
162,583
163,585
164,587
165,590
166,592
167,594
168,597
169,599
170,601
171,603
172,606
173,608
174,610
175,613
176,615
177,617
178,619
179,622
180,624
181,626
182,628
183,631
184,633
185,635
186,637
187,640
188,642
189,644
190,646
191,649
192,651
193,653
194,655
195,657
196,660
197,662
198,664
199,666
200,668
201,671
202,673
203,675
204,677
205,679
206,682
207,684
208,686
209,688
210,690
211,693
212,695
213,697
214,699
215,701
216,703
217,706
218,708
219,710
220,712
221,714
222,716
223,718
224,721
225,723
226,725
227,727
228,729
229,731
230,733
231,735
232,738
233,740
234,742
235,744
236,746
237,748
238,750
239,752
240,754
241,756
242,759
243,761
244,763
245,765
246,767
247,769
248,771
249,773
250,775
251,777
252,779
253,781
254,783
255,786
256,788
257,790
258,792
259,794
260,796
261,798
262,800
263,802
264,804
265,806
266,808
267,810
268,812
269,814
270,816
271,818
272,820
273,822
274,824
275,826
276,828
277,830
278,832
279,834
280,836
281,838
282,840
283,842
284,844
285,846
286,848
287,850
288,852
289,854
290,856
291,858
292,860
293,862
294,864
295,866
296,868
297,870
298,872
299,874
300,876
301,878
302,879
303,881
304,883
305,885
306,887
307,889
308,891
309,893
310,895
311,897
312,899
313,901
314,903
315,904
316,906
317,908
318,910
319,912
320,914
321,916
322,918
323,920
324,922
325,923
326,925
327,927
328,929
329,931
330,933
331,935
332,937
333,938
334,940
335,942
336,944
337,946
338,948
339,950
340,952
341,953
342,955
343,957
344,959
345,961
346,963
347,964
348,966
349,968
350,970
351,972
352,974
353,975
354,977
355,979
356,981
357,983
358,984
359,986
360,988
361,990
362,992
363,994
364,995
365,997
366,999
367,1001
368,1003
369,1004
370,1006
371,1008
372,1010
373,1011
374,1013
375,1015
376,1017
377,1019
378,1020
379,1022
380,1024
381,1026
382,1027
383,1029
384,1031
385,1033
386,1034
387,1036
388,1038
389,1040
390,1041
391,1043
392,1045
393,1047
394,1048
395,1050
396,1052
397,1054
398,1055
399,1057
400,1059
401,1060
402,1062
403,1064
404,1066
405,1067
406,1069
407,1071
408,1072
409,1074
410,1076
411,1078
412,1079
413,1081
414,1083
415,1084
416,1086
417,1088
418,1089
419,1091
420,1093
421,1094
422,1096
423,1098
424,1099
425,1101
426,1103
427,1104
428,1106
429,1108
430,1109
431,1111
432,1113
433,1114
434,1116
435,1118
436,1119
437,1121
438,1123
439,1124
440,1126
441,1128
442,1129
443,1131
444,1133
445,1134
446,1136
447,1137
448,1139
449,1141
450,1142
451,1144
452,1146
453,1147
454,1149
455,1150
456,1152
457,1154
458,1155
459,1157
460,1158
461,1160
462,1162
463,1163
464,1165
465,1166
466,1168
467,1170
468,1171
469,1173
470,1174
471,1176
472,1177
473,1179
474,1181
475,1182
476,1184
477,1185
478,1187
479,1188
480,1190
481,1192
482,1193
483,1195
484,1196
485,1198
486,1199
487,1201
488,1202
489,1204
490,1206
491,1207
492,1209
493,1210
494,1212
495,1213
496,1215
497,1216
498,1218
499,1219
500,1221
501,1222
502,1224
503,1226
504,1227
505,1229
506,1230
507,1232
508,1233
509,1235
510,1236
511,1238
512,1239
513,1241
514,1242
515,1244
516,1245
517,1247
518,1248
519,1250
520,1251
521,1253
522,1254
523,1256
524,1257
525,1259
526,1260
527,1261
528,1263
529,1264
530,1266
531,1267
532,1269
533,1270
534,1272
535,1273
536,1275
537,1276
538,1278
539,1279
540,1281
541,1282
542,1283
543,1285
544,1286
545,1288
546,1289
547,1291
548,1292
549,1294
550,1295
551,1296
552,1298
553,1299
554,1301
555,1302
556,1304
557,1305
558,1306
559,1308
560,1309
561,1311
562,1312
